Index,Freq Range (Hz),Standard Freq (Hz)
1,265.7 - 296.8,283
2,296.8 - 327.9,312.35
3,327.9 - 359.0,343.45
4,359.0 - 390.1,374.55
5,390.1 - 421.2,405.65
6,421.2 - 452.3,436.75
7,452.3 - 483.4,467.85
8,483.4 - 514.5,498.95
9,514.5 - 545.6,530.05
10,545.6 - 576.7,561.15
11,576.7 - 607.8,592.25
12,607.8 - 638.9,623.35
13,638.9 - 670.0,654.45
14,670.0 - 701.1,685.55
15,701.1 - 732.2,716.65
16,732.2 - 763.3,747.75
17,763.3 - 794.4,778.85
18,794.4 - 825.5,809.95
19,828.2 - 859.3,849
20,859.3 - 890.4,874.85
21,890.4 - 921.5,905.95
22,921.5 - 952.6,937.05
23,952.6 - 983.7,968.15
24,983.7 - 1014.8,999.25
25,1014.8 - 1045.9,1030.35
26,1045.9 - 1077.0,1061.45
27,1077.0 - 1108.1,1092.55
28,1108.1 - 1139.2,1123.65
29,1139.2 - 1170.3,1154.75
30,1170.3 - 1201.4,1185.85
31,1201.4 - 1232.5,1216.95
32,1232.5 - 1263.6,1248.05
33,1263.6 - 1294.7,1279.15
34,1294.7 - 1325.8,1310.25
35,1325.8 - 1356.9,1341.35
36,1356.9 - 1388.0,1372.45
37,1390.7 - 1421.8,1406.5
38,1421.8 - 1452.9,1437.35
39,1452.9 - 1484.0,1468.45
40,1484.0 - 1515.1,1499.55
41,1515.1 - 1546.2,1530.65
42,1546.2 - 1577.3,1561.75
43,1577.3 - 1608.4,1592.85
44,1608.4 - 1639.5,1623.95
45,1639.5 - 1670.6,1655.05
46,1670.6 - 1701.7,1686.15
47,1701.7 - 1732.8,1717.25
48,1732.8 - 1763.9,1748.35
49,1763.9 - 1795.0,1779.45
50,1795.0 - 1826.1,1810.55
51,1826.1 - 1857.2,1841.65
52,1857.2 - 1888.3,1872.75
53,1888.3 - 1919.4,1903.85
54,1919.4 - 1950.5,1934.95
55,2078.2 - 2140.6,2110
56,2140.6 - 2203.0,2171.8
57,2203.0 - 2265.4,2234.2
58,2265.4 - 2327.8,2296.6
59,2327.8 - 2390.2,2359.0
60,2390.2 - 2452.6,2421.4
61,2452.6 - 2515.0,2483.8
62,2515.0 - 2577.4,2546.2
63,2577.4 - 2639.8,2608.6
64,2639.8 - 2702.2,2671.0
65,2702.2 - 2764.6,2733.4
66,2764.6 - 2827.0,2795.8
67,2827.0 - 2889.4,2858.2
68,2889.4 - 2951.8,2920.6
69,2951.8 - 3014.2,2983.0
70,3014.2 - 3076.6,3045.4
71,3076.6 - 3139.0,3107.8
72,3046.9 - 3109.3,3082.25

